,0,1,2
2,"['/people/person/profession', ' /award/award_nominee/award_nominations./award/award_nomination/award', ' /film/actor/film./film/performance/film', ' /people/person/nationality', ' /people/person/gender']","['/award/award_nominee/award_nominations./award/award_nomination/award', ' /award/award_nominee/award_nominations./award/award_nomination/award_nominee', ' /award/award_winner/awards_won./award/award_honor/award_winner', ' /people/person/profession', ' /award/award_nominee/award_nominations./award/award_nomination/nominated_for']","['/music/artist/track_contributions./music/track_contribution/role', ' /music/group_member/membership./music/group_membership/role', ' /people/person/profession', ' /m/0342h', ' /m/09jwl']"
4,"['/people/person/profession', ' /award/award_nominee/award_nominations./award/award_nomination/award', ' /film/actor/film./film/performance/film', ' /people/person/nationality', ' /people/person/gender']","['/award/award_nominee/award_nominations./award/award_nomination/award_nominee', ' /award/award_winner/awards_won./award/award_honor/award_winner', ' /people/person/profession', ' /award/award_nominee/award_nominations./award/award_nomination/award', ' /film/actor/film./film/performance/film']","['/award/award_nominee/award_nominations./award/award_nomination/award', ' /award/award_nominee/award_nominations./award/award_nomination/award_nominee', ' /people/person/profession', ' /base/popstra/celebrity/friendship./base/popstra/friendship/participant', ' /film/actor/film./film/performance/film']"
6,"['/people/person/profession', ' /award/award_nominee/award_nominations./award/award_nomination/award', ' /film/actor/film./film/performance/film', ' /people/person/nationality', ' /people/person/gender']","['/award/award_nominee/award_nominations./award/award_nomination/award', ' /award/award_nominee/award_nominations./award/award_nomination/award_nominee', ' /award/award_nominee/award_nominations./award/award_nomination/nominated_for', ' /award/award_winner/awards_won./award/award_honor/award_winner', ' /film/director/film']","['/award/award_nominee/award_nominations./award/award_nomination/award_nominee', ' /award/award_winner/awards_won./award/award_honor/award_winner', ' /music/artist/track_contributions./music/track_contribution/role', ' /award/award_nominee/award_nominations./award/award_nomination/award', ' /m/0dgskx']"
7,"['/people/person/profession', ' /award/award_nominee/award_nominations./award/award_nomination/award', ' /film/actor/film./film/performance/film', ' /people/person/nationality', ' /people/person/gender']","['/award/award_nominee/award_nominations./award/award_nomination/award', ' /award/award_nominee/award_nominations./award/award_nomination/award_nominee', ' /award/award_winner/awards_won./award/award_honor/award_winner', ' /people/person/profession', ' /award/award_nominee/award_nominations./award/award_nomination/nominated_for']","['/film/actor/film./film/performance/film', ' /award/award_nominee/award_nominations./award/award_nomination/award_nominee', ' /award/award_winner/awards_won./award/award_honor/award_winner', ' /award/award_nominee/award_nominations./award/award_nomination/nominated_for', ' /m/09sb52']"
9,"['/people/person/profession', ' /award/award_nominee/award_nominations./award/award_nomination/award', ' /film/actor/film./film/performance/film', ' /people/person/nationality', ' /people/person/gender']","['/award/award_nominee/award_nominations./award/award_nomination/award_nominee', ' /award/award_winner/awards_won./award/award_honor/award_winner', ' /m/08mbj5d', ' /common/topic/webpage./common/webpage/category', ' /award/award_nominee/award_nominations./award/award_nomination/nominated_for']","['/award/award_nominee/award_nominations./award/award_nomination/award_nominee', ' /award/award_winner/awards_won./award/award_honor/award_winner', ' /government/politician/government_positions_held./government/government_position_held/legislative_sessions', ' /film/actor/film./film/performance/film', ' /award/award_nominee/award_nominations./award/award_nomination/nominated_for']"
10,"['/people/person/profession', ' /award/award_nominee/award_nominations./award/award_nomination/award', ' /film/actor/film./film/performance/film', ' /people/person/nationality', ' /people/person/gender']","['/award/award_nominee/award_nominations./award/award_nomination/award', ' /award/award_nominee/award_nominations./award/award_nomination/award_nominee', ' /award/award_winner/awards_won./award/award_honor/award_winner', ' /people/person/profession', ' /award/award_nominee/award_nominations./award/award_nomination/nominated_for']","['/award/award_nominee/award_nominations./award/award_nomination/award_nominee', ' /award/award_winner/awards_won./award/award_honor/award_winner', ' /tv/tv_producer/programs_produced./tv/tv_producer_term/program', ' /government/politician/government_positions_held./government/government_position_held/basic_title', ' /government/politician/government_positions_held./government/government_position_held/jurisdiction_of_office']"
12,"['/people/person/profession', ' /award/award_nominee/award_nominations./award/award_nomination/award', ' /film/actor/film./film/performance/film', ' /people/person/nationality', ' /people/person/gender']","['/award/award_nominee/award_nominations./award/award_nomination/award', ' /people/person/profession', ' /film/director/film', ' /people/person/nationality', ' /m/05zppz']","['/award/award_nominee/award_nominations./award/award_nomination/award_nominee', ' /award/award_winner/awards_won./award/award_honor/award_winner', ' /film/actor/film./film/performance/film', ' /award/award_nominee/award_nominations./award/award_nomination/nominated_for', ' /award/award_nominee/award_nominations./award/award_nomination/award']"
13,"['/people/person/profession', ' /award/award_nominee/award_nominations./award/award_nomination/award', ' /film/actor/film./film/performance/film', ' /people/person/nationality', ' /people/person/gender']","['/award/award_nominee/award_nominations./award/award_nomination/award_nominee', ' /award/award_winner/awards_won./award/award_honor/award_winner', ' /m/08mbj5d', ' /common/topic/webpage./common/webpage/category', ' /award/award_nominee/award_nominations./award/award_nomination/nominated_for']","['/base/schemastaging/organization_extra/phone_number./base/schemastaging/phone_sandbox/service_location', ' /m/09nqf', ' /business/business_operation/industry', ' /base/schemastaging/organization_extra/phone_number./base/schemastaging/phone_sandbox/service_language', ' /award/ranked_item/appears_in_ranked_lists./award/ranking/list']"
14,"['/people/person/profession', ' /award/award_nominee/award_nominations./award/award_nomination/award', ' /film/actor/film./film/performance/film', ' /people/person/nationality', ' /people/person/gender']","['/award/award_nominee/award_nominations./award/award_nomination/award', ' /award/award_nominee/award_nominations./award/award_nomination/award_nominee', ' /award/award_winner/awards_won./award/award_honor/award_winner', ' /people/person/profession', ' /award/award_nominee/award_nominations./award/award_nomination/nominated_for']","['/award/award_nominee/award_nominations./award/award_nomination/award_nominee', ' /award/award_winner/awards_won./award/award_honor/award_winner', ' /film/actor/film./film/performance/film', ' /base/popstra/celebrity/dated./base/popstra/dated/participant', ' /base/popstra/celebrity/friendship./base/popstra/friendship/participant']"
15,"['/people/person/profession', ' /award/award_nominee/award_nominations./award/award_nomination/award', ' /film/actor/film./film/performance/film', ' /people/person/nationality', ' /people/person/gender']","['/award/award_nominee/award_nominations./award/award_nomination/award_nominee', ' /award/award_winner/awards_won./award/award_honor/award_winner', ' /m/08mbj5d', ' /common/topic/webpage./common/webpage/category', ' /award/award_nominee/award_nominations./award/award_nomination/nominated_for']","['/sports/sports_team/roster./american_football/football_historical_roster_position/position_s', ' /american_football/football_team/current_roster./sports/sports_team_roster/position', ' /sports/sports_team/roster./american_football/football_roster_position/position', ' /m/06b1q', ' /m/01r3hr']"
16,"['/people/person/profession', ' /award/award_nominee/award_nominations./award/award_nomination/award', ' /film/actor/film./film/performance/film', ' /people/person/nationality', ' /people/person/gender']","['/award/award_nominee/award_nominations./award/award_nomination/award', ' /people/person/profession', ' /film/director/film', ' /people/person/nationality', ' /m/05zppz']","['/m/010z5n', ' /m/0gq_d', ' /m/0k419', ' /m/01nvmd_', ' /m/0fpzwf']"
17,"['/people/person/profession', ' /award/award_nominee/award_nominations./award/award_nomination/award', ' /film/actor/film./film/performance/film', ' /people/person/nationality', ' /people/person/gender']","['/award/award_nominee/award_nominations./award/award_nomination/award', ' /award/award_nominee/award_nominations./award/award_nomination/award_nominee', ' /award/award_nominee/award_nominations./award/award_nomination/nominated_for', ' /award/award_winner/awards_won./award/award_honor/award_winner', ' /film/director/film']","['/education/educational_institution/students_graduates./education/education/student', ' /education/educational_institution/school_type', ' /education/educational_institution/campuses', ' /education/educational_institution_campus/educational_institution', ' /organization/organization/headquarters./location/mailing_address/citytown']"
18,"['/people/person/profession', ' /award/award_nominee/award_nominations./award/award_nomination/award', ' /film/actor/film./film/performance/film', ' /people/person/nationality', ' /people/person/gender']","['/award/award_nominee/award_nominations./award/award_nomination/award_nominee', ' /award/award_winner/awards_won./award/award_honor/award_winner', ' /m/08mbj5d', ' /common/topic/webpage./common/webpage/category', ' /award/award_nominee/award_nominations./award/award_nomination/nominated_for']","['/organization/role/leaders./organization/leadership/organization', ' /business/job_title/people_with_this_title./business/employment_tenure/company', ' /m/04_j5s', ' /m/02nvg1', ' /m/02bb47']"
19,"['/people/person/profession', ' /award/award_nominee/award_nominations./award/award_nomination/award', ' /film/actor/film./film/performance/film', ' /people/person/nationality', ' /people/person/gender']","['/award/award_nominee/award_nominations./award/award_nomination/award_nominee', ' /award/award_winner/awards_won./award/award_honor/award_winner', ' /m/08mbj5d', ' /common/topic/webpage./common/webpage/category', ' /award/award_nominee/award_nominations./award/award_nomination/nominated_for']","['/m/011yxy', ' /m/0bj9k', ' /m/02lp0w', ' /m/0100mt', ' /m/0170z3']"
20,"['/people/person/profession', ' /award/award_nominee/award_nominations./award/award_nomination/award', ' /film/actor/film./film/performance/film', ' /people/person/nationality', ' /people/person/gender']","['/award/award_nominee/award_nominations./award/award_nomination/award_nominee', ' /award/award_winner/awards_won./award/award_honor/award_winner', ' /people/person/profession', ' /award/award_nominee/award_nominations./award/award_nomination/award', ' /film/actor/film./film/performance/film']","['/m/0gyv0b4', ' /m/03cffvv', ' /m/01xvjb', ' /m/0320fn', ' /m/0d1qmz']"
21,"['/people/person/profession', ' /award/award_nominee/award_nominations./award/award_nomination/award', ' /film/actor/film./film/performance/film', ' /people/person/nationality', ' /people/person/gender']","['/award/award_nominee/award_nominations./award/award_nomination/award', ' /people/person/profession', ' /film/director/film', ' /people/person/nationality', ' /m/05zppz']","['/influence/influence_node/influenced_by', ' /m/0cbd2', ' /people/person/religion', ' /people/person/places_lived./people/place_lived/location', ' /m/0kyk']"
22,"['/people/person/profession', ' /award/award_nominee/award_nominations./award/award_nomination/award', ' /film/actor/film./film/performance/film', ' /people/person/nationality', ' /people/person/gender']","['/award/award_nominee/award_nominations./award/award_nomination/award_nominee', ' /award/award_winner/awards_won./award/award_honor/award_winner', ' /people/person/profession', ' /award/award_nominee/award_nominations./award/award_nomination/award', ' /film/actor/film./film/performance/film']","['/m/017m2y', ' /m/095l0', ' /m/0342h', ' /m/0t_2', ' /m/035qy']"
23,"['/people/person/profession', ' /award/award_nominee/award_nominations./award/award_nomination/award', ' /film/actor/film./film/performance/film', ' /people/person/nationality', ' /people/person/gender']","['/award/award_nominee/award_nominations./award/award_nomination/award_nominee', ' /award/award_winner/awards_won./award/award_honor/award_winner', ' /m/08mbj5d', ' /common/topic/webpage./common/webpage/category', ' /award/award_nominee/award_nominations./award/award_nomination/nominated_for']","['/film/film_distributor/films_distributed./film/film_film_distributor_relationship/film', ' /award/award_nominee/award_nominations./award/award_nomination/nominated_for', ' /award/award_nominee/award_nominations./award/award_nomination/award_nominee', ' /music/record_label/artist', ' /m/02vxn']"
25,"['/people/person/profession', ' /award/award_nominee/award_nominations./award/award_nomination/award', ' /film/actor/film./film/performance/film', ' /people/person/nationality', ' /people/person/gender']","['/m/09nqf', ' /education/educational_institution/students_graduates./education/education/major_field_of_study', ' /education/educational_institution/colors', ' /education/educational_institution/school_type', ' /m/08mbj5d']","['/education/educational_institution/students_graduates./education/education/student', ' /education/educational_institution/students_graduates./education/education/major_field_of_study', ' /m/09nqf', ' /education/educational_institution/colors', ' /organization/endowed_organization/endowment./measurement_unit/dated_money_value/currency']"
26,"['/people/person/profession', ' /award/award_nominee/award_nominations./award/award_nomination/award', ' /film/actor/film./film/performance/film', ' /people/person/nationality', ' /people/person/gender']","['/award/award_nominee/award_nominations./award/award_nomination/award_nominee', ' /award/award_winner/awards_won./award/award_honor/award_winner', ' /m/08mbj5d', ' /common/topic/webpage./common/webpage/category', ' /award/award_nominee/award_nominations./award/award_nomination/nominated_for']","['/m/01ztgm', ' /m/01c9d', ' /m/0274v0r', ' /m/065z3_x', ' /m/05q5t0b']"
28,"['/people/person/profession', ' /award/award_nominee/award_nominations./award/award_nomination/award', ' /film/actor/film./film/performance/film', ' /people/person/nationality', ' /people/person/gender']","['/award/award_nominee/award_nominations./award/award_nomination/award_nominee', ' /award/award_winner/awards_won./award/award_honor/award_winner', ' /people/person/profession', ' /award/award_nominee/award_nominations./award/award_nomination/award', ' /film/actor/film./film/performance/film']","['/m/0b005', ' /m/0534nr', ' /m/01w1ywm', ' /m/014kbl', ' /m/02dwj']"
29,"['/people/person/profession', ' /award/award_nominee/award_nominations./award/award_nomination/award', ' /film/actor/film./film/performance/film', ' /people/person/nationality', ' /people/person/gender']","['/award/award_nominee/award_nominations./award/award_nomination/award_nominee', ' /award/award_winner/awards_won./award/award_honor/award_winner', ' /m/08mbj5d', ' /common/topic/webpage./common/webpage/category', ' /award/award_nominee/award_nominations./award/award_nomination/nominated_for']","['/music/record_label/artist', ' /organization/organization/child./organization/organization_relationship/child', ' /m/01w524f', ' /m/01w60_p', ' /m/0qf3p']"
30,"['/people/person/profession', ' /award/award_nominee/award_nominations./award/award_nomination/award', ' /film/actor/film./film/performance/film', ' /people/person/nationality', ' /people/person/gender']","['/award/award_nominee/award_nominations./award/award_nomination/award', ' /award/award_nominee/award_nominations./award/award_nomination/award_nominee', ' /award/award_nominee/award_nominations./award/award_nomination/nominated_for', ' /award/award_winner/awards_won./award/award_honor/award_winner', ' /film/director/film']","['/m/0s5cg', ' /m/06vqdf', ' /m/06r1k', ' /m/0bl1_', ' /m/028sgq']"
31,"['/people/person/profession', ' /award/award_nominee/award_nominations./award/award_nomination/award', ' /film/actor/film./film/performance/film', ' /people/person/nationality', ' /people/person/gender']","['/award/award_nominee/award_nominations./award/award_nomination/award', ' /award/award_nominee/award_nominations./award/award_nomination/award_nominee', ' /award/award_nominee/award_nominations./award/award_nomination/nominated_for', ' /award/award_winner/awards_won./award/award_honor/award_winner', ' /film/director/film']","['/music/genre/artists', ' /m/0fhp9', ' /m/0h7x', ' /music/genre/parent_genre', ' /dataworld/gardening_hint/split_to']"
32,"['/people/person/profession', ' /award/award_nominee/award_nominations./award/award_nomination/award', ' /film/actor/film./film/performance/film', ' /people/person/nationality', ' /people/person/gender']","['/award/award_nominee/award_nominations./award/award_nomination/award', ' /award/award_nominee/award_nominations./award/award_nomination/award_nominee', ' /award/award_winner/awards_won./award/award_honor/award_winner', ' /people/person/profession', ' /award/award_nominee/award_nominations./award/award_nomination/nominated_for']","['/m/0glbqt', ' /m/01l3mk3', ' /m/016z5x', ' /m/0kr5_', ' /m/01vttb9']"
33,"['/people/person/profession', ' /award/award_nominee/award_nominations./award/award_nomination/award', ' /film/actor/film./film/performance/film', ' /people/person/nationality', ' /people/person/gender']","['/m/09nqf', ' /education/educational_institution/students_graduates./education/education/major_field_of_study', ' /education/educational_institution/colors', ' /education/educational_institution/school_type', ' /m/08mbj5d']","['/m/0g251', ' /m/0prhz', ' /media_common/netflix_genre/titles', ' /m/01sby_', ' /m/0jqb8']"
34,"['/people/person/profession', ' /award/award_nominee/award_nominations./award/award_nomination/award', ' /film/actor/film./film/performance/film', ' /people/person/nationality', ' /people/person/gender']","['/award/award_nominee/award_nominations./award/award_nomination/award_nominee', ' /award/award_winner/awards_won./award/award_honor/award_winner', ' /m/08mbj5d', ' /common/topic/webpage./common/webpage/category', ' /award/award_nominee/award_nominations./award/award_nomination/nominated_for']","['/government/government_office_category/officeholders./government/government_position_held/jurisdiction_of_office', ' /government/legislative_session/members./government/government_position_held/district_represented', ' /government/legislative_session/members./government/government_position_held/legislative_sessions', ' /m/03v1s', ' /m/0824r']"
35,"['/people/person/profession', ' /award/award_nominee/award_nominations./award/award_nomination/award', ' /film/actor/film./film/performance/film', ' /people/person/nationality', ' /people/person/gender']","['/award/award_nominee/award_nominations./award/award_nomination/award_nominee', ' /award/award_winner/awards_won./award/award_honor/award_winner', ' /m/08mbj5d', ' /common/topic/webpage./common/webpage/category', ' /award/award_nominee/award_nominations./award/award_nomination/nominated_for']","['/m/03b_fm5', ' /m/0s2z0', ' /m/01z28b', ' /m/0p4v_', ' /m/0k_p5']"
36,"['/people/person/profession', ' /award/award_nominee/award_nominations./award/award_nomination/award', ' /film/actor/film./film/performance/film', ' /people/person/nationality', ' /people/person/gender']","['/award/award_nominee/award_nominations./award/award_nomination/award', ' /people/person/profession', ' /film/director/film', ' /people/person/nationality', ' /m/05zppz']","['/m/03kbr', ' /m/0776drd', ' /m/03rbj2', ' /m/01zxx9', ' /m/061y4q']"
40,"['/people/person/profession', ' /award/award_nominee/award_nominations./award/award_nomination/award', ' /film/actor/film./film/performance/film', ' /people/person/nationality', ' /people/person/gender']","['/award/award_nominee/award_nominations./award/award_nomination/award', ' /award/award_nominee/award_nominations./award/award_nomination/award_nominee', ' /award/award_nominee/award_nominations./award/award_nomination/nominated_for', ' /award/award_winner/awards_won./award/award_honor/award_winner', ' /film/director/film']","['/m/01hqhm', ' /m/01smm', ' /m/02b6n9', ' /m/02ylg6', ' /m/07l5z']"
41,"['/people/person/profession', ' /award/award_nominee/award_nominations./award/award_nomination/award', ' /film/actor/film./film/performance/film', ' /people/person/nationality', ' /people/person/gender']","['/m/09nqf', ' /education/educational_institution/students_graduates./education/education/major_field_of_study', ' /education/educational_institution/colors', ' /education/educational_institution/school_type', ' /m/08mbj5d']","['/sports/professional_sports_team/draft_picks./sports/sports_league_draft_pick/school', ' /sports/sports_team/roster./baseball/baseball_roster_position/position', ' /baseball/baseball_team/team_stats./baseball/baseball_team_stats/season', ' /sports/professional_sports_team/draft_picks./sports/sports_league_draft_pick/draft', ' /sports/sports_team/colors']"
42,"['/people/person/profession', ' /award/award_nominee/award_nominations./award/award_nomination/award', ' /film/actor/film./film/performance/film', ' /people/person/nationality', ' /people/person/gender']","['/award/award_nominee/award_nominations./award/award_nomination/award_nominee', ' /award/award_winner/awards_won./award/award_honor/award_winner', ' /people/person/profession', ' /award/award_nominee/award_nominations./award/award_nomination/award', ' /film/actor/film./film/performance/film']","['/sports/pro_athlete/teams./sports/sports_team_roster/team', ' /sports/sports_league/teams./sports/sports_league_participation/team', ' /people/person/employment_history./business/employment_tenure/company', ' /m/05tfm', ' /m/05l71']"
43,"['/people/person/profession', ' /award/award_nominee/award_nominations./award/award_nomination/award', ' /film/actor/film./film/performance/film', ' /people/person/nationality', ' /people/person/gender']","['/m/09nqf', ' /education/educational_institution/students_graduates./education/education/major_field_of_study', ' /education/educational_institution/colors', ' /education/educational_institution/school_type', ' /m/08mbj5d']","['/m/02ynfr', ' /m/0k_p5', ' /m/02qrwjt', ' /m/0947l', ' /m/09fn1w']"
