,0,1,2
90,"['/people/person/profession', ' /award/award_nominee/award_nominations./award/award_nomination/award', ' /film/actor/film./film/performance/film', ' /people/person/nationality', ' /people/person/gender']","['/award/award_nominee/award_nominations./award/award_nomination/award', ' /award/award_nominee/award_nominations./award/award_nomination/award_nominee', ' /award/award_nominee/award_nominations./award/award_nomination/nominated_for', ' /award/award_winner/awards_won./award/award_honor/award_winner', ' /film/director/film']","['/m/05b49tt', ' /m/0c_m3', ' /m/0ymc8', ' /m/01j851', ' /m/01nv4h']"
91,"['/people/person/profession', ' /award/award_nominee/award_nominations./award/award_nomination/award', ' /film/actor/film./film/performance/film', ' /people/person/nationality', ' /people/person/gender']","['/award/award_nominee/award_nominations./award/award_nomination/award', ' /award/award_nominee/award_nominations./award/award_nomination/award_nominee', ' /award/award_nominee/award_nominations./award/award_nomination/nominated_for', ' /award/award_winner/awards_won./award/award_honor/award_winner', ' /film/director/film']","['/m/01ffx4', ' /m/0233bn', ' /m/08g_jw', ' /m/0415ggl', ' /m/02bxjp']"
92,"['/people/person/profession', ' /award/award_nominee/award_nominations./award/award_nomination/award', ' /film/actor/film./film/performance/film', ' /people/person/nationality', ' /people/person/gender']","['/award/award_nominee/award_nominations./award/award_nomination/award', ' /award/award_nominee/award_nominations./award/award_nomination/award_nominee', ' /award/award_winner/awards_won./award/award_honor/award_winner', ' /people/person/profession', ' /award/award_nominee/award_nominations./award/award_nomination/nominated_for']","['/m/048rn', ' /m/0j80w', ' /m/02xry', ' /m/06yyp', ' /m/05sw5b']"
93,"['/people/person/profession', ' /award/award_nominee/award_nominations./award/award_nomination/award', ' /film/actor/film./film/performance/film', ' /people/person/nationality', ' /people/person/gender']","['/award/award_nominee/award_nominations./award/award_nomination/award', ' /award/award_nominee/award_nominations./award/award_nomination/award_nominee', ' /award/award_nominee/award_nominations./award/award_nomination/nominated_for', ' /award/award_winner/awards_won./award/award_honor/award_winner', ' /film/director/film']","['/m/01934k', ' /m/0bmhn', ' /m/0hv81', ' /m/09949m', ' /m/02l0sf']"
94,"['/people/person/profession', ' /award/award_nominee/award_nominations./award/award_nomination/award', ' /film/actor/film./film/performance/film', ' /people/person/nationality', ' /people/person/gender']","['/award/award_nominee/award_nominations./award/award_nomination/award', ' /people/person/profession', ' /film/director/film', ' /people/person/nationality', ' /m/05zppz']","['/m/015h31', ' /m/03rt9', ' /m/0k2cb', ' /m/0n2g', ' /m/025m8l']"
95,"['/people/person/profession', ' /award/award_nominee/award_nominations./award/award_nomination/award', ' /film/actor/film./film/performance/film', ' /people/person/nationality', ' /people/person/gender']","['/award/award_nominee/award_nominations./award/award_nomination/award', ' /award/award_nominee/award_nominations./award/award_nomination/award_nominee', ' /award/award_nominee/award_nominations./award/award_nomination/nominated_for', ' /award/award_winner/awards_won./award/award_honor/award_winner', ' /film/director/film']","['/m/05fgr_', ' /m/04j13sx', ' /m/015qsq', ' /m/01ttg5', ' /m/0b90_r']"
97,"['/people/person/profession', ' /award/award_nominee/award_nominations./award/award_nomination/award', ' /film/actor/film./film/performance/film', ' /people/person/nationality', ' /people/person/gender']","['/award/award_nominee/award_nominations./award/award_nomination/award_nominee', ' /award/award_winner/awards_won./award/award_honor/award_winner', ' /m/08mbj5d', ' /common/topic/webpage./common/webpage/category', ' /award/award_nominee/award_nominations./award/award_nomination/nominated_for']","['/m/0fn2g', ' /m/03c_cxn', ' /m/0ply0', ' /m/0bh8drv', ' /m/04qw17']"
98,"['/people/person/profession', ' /award/award_nominee/award_nominations./award/award_nomination/award', ' /film/actor/film./film/performance/film', ' /people/person/nationality', ' /people/person/gender']","['/award/award_nominee/award_nominations./award/award_nomination/award_nominee', ' /award/award_winner/awards_won./award/award_honor/award_winner', ' /m/08mbj5d', ' /common/topic/webpage./common/webpage/category', ' /award/award_nominee/award_nominations./award/award_nomination/nominated_for']","['/film/special_film_performance_type/film_performance_type./film/performance/film', ' /m/01fx4k', ' /m/03h64', ' /m/08vd2q', ' /m/0194_r']"
99,"['/people/person/profession', ' /award/award_nominee/award_nominations./award/award_nomination/award', ' /film/actor/film./film/performance/film', ' /people/person/nationality', ' /people/person/gender']","['/award/award_nominee/award_nominations./award/award_nomination/award', ' /award/award_nominee/award_nominations./award/award_nomination/award_nominee', ' /award/award_nominee/award_nominations./award/award_nomination/nominated_for', ' /award/award_winner/awards_won./award/award_honor/award_winner', ' /film/director/film']","['/m/01n7q', ' /m/0bx0l', ' /m/0qcrj', ' /m/0pd6l', ' /m/03dq9']"
100,"['/people/person/profession', ' /award/award_nominee/award_nominations./award/award_nomination/award', ' /film/actor/film./film/performance/film', ' /people/person/nationality', ' /people/person/gender']","['/award/award_nominee/award_nominations./award/award_nomination/award', ' /award/award_nominee/award_nominations./award/award_nomination/nominated_for', ' /film/director/film', ' /common/topic/webpage./common/webpage/category', ' /people/person/profession']","['/m/02frhbc', ' /m/0k2sk', ' /m/09qj50', ' /m/063zky', ' /m/07bdd_']"
101,"['/people/person/profession', ' /award/award_nominee/award_nominations./award/award_nomination/award', ' /film/actor/film./film/performance/film', ' /people/person/nationality', ' /people/person/gender']","['/award/award_nominee/award_nominations./award/award_nomination/award', ' /award/award_nominee/award_nominations./award/award_nomination/nominated_for', ' /film/director/film', ' /common/topic/webpage./common/webpage/category', ' /people/person/profession']","['/m/0233bn', ' /m/0432_5', ' /m/0qr8z', ' /m/09v4bym', ' /m/03h64']"
102,"['/people/person/profession', ' /award/award_nominee/award_nominations./award/award_nomination/award', ' /film/actor/film./film/performance/film', ' /people/person/nationality', ' /people/person/gender']","['/award/award_nominee/award_nominations./award/award_nomination/award', ' /award/award_nominee/award_nominations./award/award_nomination/nominated_for', ' /film/director/film', ' /common/topic/webpage./common/webpage/category', ' /people/person/profession']","['/m/019q50', ' /organization/endowed_organization/endowment./measurement_unit/dated_money_value/currency', ' /m/047951', ' /m/016722', ' /m/029cr']"
103,"['/people/person/profession', ' /award/award_nominee/award_nominations./award/award_nomination/award', ' /film/actor/film./film/performance/film', ' /people/person/nationality', ' /people/person/gender']","['/award/award_nominee/award_nominations./award/award_nomination/award', ' /people/person/profession', ' /film/director/film', ' /people/person/nationality', ' /m/05zppz']","['/m/03fcbb', ' /m/02r858_', ' /m/05pq9', ' /m/0fqyzz', ' /m/0bm9xk']"
104,"['/people/person/profession', ' /award/award_nominee/award_nominations./award/award_nomination/award', ' /film/actor/film./film/performance/film', ' /people/person/nationality', ' /people/person/gender']","['/award/award_nominee/award_nominations./award/award_nomination/award', ' /award/award_nominee/award_nominations./award/award_nomination/award_nominee', ' /award/award_nominee/award_nominations./award/award_nomination/nominated_for', ' /award/award_winner/awards_won./award/award_honor/award_winner', ' /film/director/film']","['/m/087v17', ' /m/01mgw', ' /m/0ncj8', ' /m/0df92l', ' /m/0bby9p5']"
105,"['/people/person/profession', ' /award/award_nominee/award_nominations./award/award_nomination/award', ' /film/actor/film./film/performance/film', ' /people/person/nationality', ' /people/person/gender']","['/award/award_nominee/award_nominations./award/award_nomination/award', ' /award/award_nominee/award_nominations./award/award_nomination/award_nominee', ' /award/award_nominee/award_nominations./award/award_nomination/nominated_for', ' /award/award_winner/awards_won./award/award_honor/award_winner', ' /film/director/film']","['/m/02wgbb', ' /m/01yzhn', ' /m/01cvxf', ' /m/03nqnk3', ' /m/0nbrp']"
106,"['/people/person/profession', ' /award/award_nominee/award_nominations./award/award_nomination/award', ' /film/actor/film./film/performance/film', ' /people/person/nationality', ' /people/person/gender']","['/award/award_nominee/award_nominations./award/award_nomination/award_nominee', ' /award/award_winner/awards_won./award/award_honor/award_winner', ' /m/08mbj5d', ' /common/topic/webpage./common/webpage/category', ' /award/award_nominee/award_nominations./award/award_nomination/nominated_for']","['/m/05hj_k', ' /m/0d35y', ' /m/02_286', ' /m/0gl02yg', ' /m/039fgy']"
107,"['/people/person/profession', ' /award/award_nominee/award_nominations./award/award_nomination/award', ' /film/actor/film./film/performance/film', ' /people/person/nationality', ' /people/person/gender']","['/award/award_nominee/award_nominations./award/award_nomination/award_nominee', ' /award/award_winner/awards_won./award/award_honor/award_winner', ' /m/08mbj5d', ' /common/topic/webpage./common/webpage/category', ' /award/award_nominee/award_nominations./award/award_nomination/nominated_for']","['/m/01vtj38', ' /m/027d5g5', ' /m/0170_p', ' /m/027ct7c', ' /m/0267wwv']"
108,"['/people/person/profession', ' /award/award_nominee/award_nominations./award/award_nomination/award', ' /film/actor/film./film/performance/film', ' /people/person/nationality', ' /people/person/gender']","['/m/09nqf', ' /education/educational_institution/students_graduates./education/education/major_field_of_study', ' /education/educational_institution/colors', ' /education/educational_institution/school_type', ' /m/08mbj5d']","['/m/043n0v_', ' /m/02fttd', ' /m/02qr3k8', ' /m/0f2r6', ' /m/0h6r5']"
109,"['/people/person/profession', ' /award/award_nominee/award_nominations./award/award_nomination/award', ' /film/actor/film./film/performance/film', ' /people/person/nationality', ' /people/person/gender']","['/award/award_nominee/award_nominations./award/award_nomination/award', ' /award/award_nominee/award_nominations./award/award_nomination/nominated_for', ' /film/director/film', ' /common/topic/webpage./common/webpage/category', ' /people/person/profession']","['/m/0r0m6', ' /m/01gf5h', ' /m/024lff', ' /m/0fg6k', ' /m/0164qt']"
110,"['/people/person/profession', ' /award/award_nominee/award_nominations./award/award_nomination/award', ' /film/actor/film./film/performance/film', ' /people/person/nationality', ' /people/person/gender']","['/award/award_nominee/award_nominations./award/award_nomination/award', ' /award/award_nominee/award_nominations./award/award_nomination/nominated_for', ' /film/director/film', ' /common/topic/webpage./common/webpage/category', ' /people/person/profession']","['/m/011yqc', ' /m/06mxs', ' /m/0bdg5', ' /m/0ds11z', ' /m/050r1z']"
111,"['/people/person/profession', ' /award/award_nominee/award_nominations./award/award_nomination/award', ' /film/actor/film./film/performance/film', ' /people/person/nationality', ' /people/person/gender']","['/award/award_nominee/award_nominations./award/award_nomination/award', ' /award/award_nominee/award_nominations./award/award_nomination/award_nominee', ' /award/award_nominee/award_nominations./award/award_nomination/nominated_for', ' /award/award_winner/awards_won./award/award_honor/award_winner', ' /film/director/film']","['/m/0pd64', ' /m/01pv91', ' /m/0ctw_b', ' /m/05wp1p', ' /m/035yn8']"
112,"['/people/person/profession', ' /award/award_nominee/award_nominations./award/award_nomination/award', ' /film/actor/film./film/performance/film', ' /people/person/nationality', ' /people/person/gender']","['/award/award_nominee/award_nominations./award/award_nomination/award_nominee', ' /award/award_winner/awards_won./award/award_honor/award_winner', ' /people/person/profession', ' /award/award_nominee/award_nominations./award/award_nomination/award', ' /film/actor/film./film/performance/film']","['/award/award_winning_work/awards_won./award/award_honor/award', ' /award/award_winning_work/awards_won./award/award_honor/award_winner', ' /film/film/other_crew./film/film_crew_gig/film_crew_role', ' /film/film/genre', ' /m/04lhc4']"
113,"['/people/person/profession', ' /award/award_nominee/award_nominations./award/award_nomination/award', ' /film/actor/film./film/performance/film', ' /people/person/nationality', ' /people/person/gender']","['/award/award_nominee/award_nominations./award/award_nomination/award_nominee', ' /award/award_winner/awards_won./award/award_honor/award_winner', ' /people/person/profession', ' /award/award_nominee/award_nominations./award/award_nomination/award', ' /film/actor/film./film/performance/film']","['/m/0m2rv', ' /organization/organization/place_founded', ' /sports/pro_athlete/teams./sports/sports_team_roster/team', ' /m/043tvp3', ' /m/053mhx']"
114,"['/people/person/profession', ' /award/award_nominee/award_nominations./award/award_nomination/award', ' /film/actor/film./film/performance/film', ' /people/person/nationality', ' /people/person/gender']","['/award/award_nominee/award_nominations./award/award_nomination/award', ' /award/award_nominee/award_nominations./award/award_nomination/award_nominee', ' /award/award_nominee/award_nominations./award/award_nomination/nominated_for', ' /award/award_winner/awards_won./award/award_honor/award_winner', ' /film/director/film']","['/m/0y_pg', ' /m/032clf', ' /m/03ywyk', ' /m/0fvr1', ' /m/01q_y0']"
115,"['/people/person/profession', ' /award/award_nominee/award_nominations./award/award_nomination/award', ' /film/actor/film./film/performance/film', ' /people/person/nationality', ' /people/person/gender']","['/m/09nqf', ' /education/educational_institution/students_graduates./education/education/major_field_of_study', ' /education/educational_institution/colors', ' /education/educational_institution/school_type', ' /m/08mbj5d']","['/m/09b0xs', ' /m/015c2f', ' /m/016tvq', ' /m/03j6c', ' /m/010t4v']"
116,"['/people/person/profession', ' /award/award_nominee/award_nominations./award/award_nomination/award', ' /film/actor/film./film/performance/film', ' /people/person/nationality', ' /people/person/gender']","['/m/09nqf', ' /education/educational_institution/students_graduates./education/education/major_field_of_study', ' /education/educational_institution/colors', ' /education/educational_institution/school_type', ' /m/08mbj5d']","['/m/056_y', ' /m/099md', ' /m/010y34', ' /award/award_nominee/award_nominations./award/award_nomination/award_nominee', ' /m/0cqnss']"
117,"['/people/person/profession', ' /award/award_nominee/award_nominations./award/award_nomination/award', ' /film/actor/film./film/performance/film', ' /people/person/nationality', ' /people/person/gender']","['/award/award_nominee/award_nominations./award/award_nomination/award', ' /award/award_nominee/award_nominations./award/award_nomination/nominated_for', ' /film/director/film', ' /common/topic/webpage./common/webpage/category', ' /people/person/profession']","['/m/0n1h', ' /m/0fcrg', ' /m/070fnm', ' /m/0cq8nx', ' /m/094vf']"
118,"['/people/person/profession', ' /award/award_nominee/award_nominations./award/award_nomination/award', ' /film/actor/film./film/performance/film', ' /people/person/nationality', ' /people/person/gender']","['/award/award_nominee/award_nominations./award/award_nomination/award_nominee', ' /award/award_winner/awards_won./award/award_honor/award_winner', ' /m/08mbj5d', ' /common/topic/webpage./common/webpage/category', ' /award/award_nominee/award_nominations./award/award_nomination/nominated_for']","['/m/029kpy', ' /m/03r8tl', ' /m/030z4z', ' /m/0z18v', ' /m/01_yvy']"
119,"['/people/person/profession', ' /award/award_nominee/award_nominations./award/award_nomination/award', ' /film/actor/film./film/performance/film', ' /people/person/nationality', ' /people/person/gender']","['/award/award_nominee/award_nominations./award/award_nomination/award', ' /award/award_nominee/award_nominations./award/award_nomination/award_nominee', ' /award/award_nominee/award_nominations./award/award_nomination/nominated_for', ' /award/award_winner/awards_won./award/award_honor/award_winner', ' /film/director/film']","['/m/01jc6q', ' /m/02fwfb', ' /m/016bx2', ' /m/06y9v', ' /m/0488g']"
120,"['/people/person/profession', ' /award/award_nominee/award_nominations./award/award_nomination/award', ' /film/actor/film./film/performance/film', ' /people/person/nationality', ' /people/person/gender']","['/award/award_nominee/award_nominations./award/award_nomination/award_nominee', ' /award/award_winner/awards_won./award/award_honor/award_winner', ' /m/08mbj5d', ' /common/topic/webpage./common/webpage/category', ' /award/award_nominee/award_nominations./award/award_nomination/nominated_for']","['/m/0fr0t', ' /m/021wpb', ' /m/0bbgvp', ' /m/02qyp19', ' /m/03r00m']"
121,"['/people/person/profession', ' /award/award_nominee/award_nominations./award/award_nomination/award', ' /film/actor/film./film/performance/film', ' /people/person/nationality', ' /people/person/gender']","['/award/award_nominee/award_nominations./award/award_nomination/award', ' /award/award_nominee/award_nominations./award/award_nomination/award_nominee', ' /award/award_winner/awards_won./award/award_honor/award_winner', ' /people/person/profession', ' /award/award_nominee/award_nominations./award/award_nomination/nominated_for']","['/m/07nnp_', ' /m/05vyk', ' /m/01k5y0', ' /m/0gl3hr', ' /m/02jm9c']"
122,"['/people/person/profession', ' /award/award_nominee/award_nominations./award/award_nomination/award', ' /film/actor/film./film/performance/film', ' /people/person/nationality', ' /people/person/gender']","['/award/award_nominee/award_nominations./award/award_nomination/award', ' /award/award_nominee/award_nominations./award/award_nomination/award_nominee', ' /award/award_winner/awards_won./award/award_honor/award_winner', ' /people/person/profession', ' /award/award_nominee/award_nominations./award/award_nomination/nominated_for']","['/m/0170yd', ' /m/0q9sg', ' /m/0gn30', ' /m/01771z', ' /m/033rq']"
123,"['/people/person/profession', ' /award/award_nominee/award_nominations./award/award_nomination/award', ' /film/actor/film./film/performance/film', ' /people/person/nationality', ' /people/person/gender']","['/award/award_nominee/award_nominations./award/award_nomination/award', ' /award/award_nominee/award_nominations./award/award_nomination/nominated_for', ' /film/director/film', ' /common/topic/webpage./common/webpage/category', ' /people/person/profession']","['/m/05ywg', ' /m/0b2qtl', ' /m/026qnh6', ' /m/09zf_q', ' /m/0ft18']"
124,"['/people/person/profession', ' /award/award_nominee/award_nominations./award/award_nomination/award', ' /film/actor/film./film/performance/film', ' /people/person/nationality', ' /people/person/gender']","['/award/award_nominee/award_nominations./award/award_nomination/award_nominee', ' /award/award_winner/awards_won./award/award_honor/award_winner', ' /people/person/profession', ' /award/award_nominee/award_nominations./award/award_nomination/award', ' /film/actor/film./film/performance/film']","['/m/07bcn', ' /m/0dxtg', ' /m/083skw', ' /m/06v9_x', ' /m/0by17xn']"
125,"['/people/person/profession', ' /award/award_nominee/award_nominations./award/award_nomination/award', ' /film/actor/film./film/performance/film', ' /people/person/nationality', ' /people/person/gender']","['/award/award_nominee/award_nominations./award/award_nomination/award_nominee', ' /award/award_winner/awards_won./award/award_honor/award_winner', ' /m/08mbj5d', ' /common/topic/webpage./common/webpage/category', ' /award/award_nominee/award_nominations./award/award_nomination/nominated_for']","['/m/0z20d', ' /m/02jm9c', ' /m/02jknp', ' /m/02jkkv', ' /m/02jjt']"
126,"['/people/person/profession', ' /award/award_nominee/award_nominations./award/award_nomination/award', ' /film/actor/film./film/performance/film', ' /people/person/nationality', ' /people/person/gender']","['/award/award_nominee/award_nominations./award/award_nomination/award', ' /award/award_nominee/award_nominations./award/award_nomination/award_nominee', ' /award/award_winner/awards_won./award/award_honor/award_winner', ' /people/person/profession', ' /award/award_nominee/award_nominations./award/award_nomination/nominated_for']","['/m/0dsx3f', ' /m/0bh8tgs', ' /m/02hvd', ' /m/03v0vd', ' /m/03f7nt']"
127,"['/people/person/profession', ' /award/award_nominee/award_nominations./award/award_nomination/award', ' /film/actor/film./film/performance/film', ' /people/person/nationality', ' /people/person/gender']","['/award/award_nominee/award_nominations./award/award_nomination/award_nominee', ' /award/award_winner/awards_won./award/award_honor/award_winner', ' /people/person/profession', ' /award/award_nominee/award_nominations./award/award_nomination/award', ' /film/actor/film./film/performance/film']","['/m/026p4q7', ' /m/01hv3t', ' /m/01hq1', ' /m/01ckcd', ' /m/02jmst']"
128,"['/people/person/profession', ' /award/award_nominee/award_nominations./award/award_nomination/award', ' /film/actor/film./film/performance/film', ' /people/person/nationality', ' /people/person/gender']","['/award/award_nominee/award_nominations./award/award_nomination/award', ' /award/award_nominee/award_nominations./award/award_nomination/award_nominee', ' /award/award_nominee/award_nominations./award/award_nomination/nominated_for', ' /award/award_winner/awards_won./award/award_honor/award_winner', ' /film/director/film']","['/m/06r2h', ' /m/0bq0p9', ' /m/01c7y', ' /m/014nq4', ' /m/02jx1']"
129,"['/people/person/profession', ' /award/award_nominee/award_nominations./award/award_nomination/award', ' /film/actor/film./film/performance/film', ' /people/person/nationality', ' /people/person/gender']","['/m/09nqf', ' /education/educational_institution/students_graduates./education/education/major_field_of_study', ' /education/educational_institution/colors', ' /education/educational_institution/school_type', ' /m/08mbj5d']","['/m/06mzp', ' /m/02jm0n', ' /m/02jknp', ' /m/02jkkv', ' /m/02jjt']"
130,"['/people/person/profession', ' /award/award_nominee/award_nominations./award/award_nomination/award', ' /film/actor/film./film/performance/film', ' /people/person/nationality', ' /people/person/gender']","['/award/award_nominee/award_nominations./award/award_nomination/award', ' /award/award_nominee/award_nominations./award/award_nomination/award_nominee', ' /award/award_nominee/award_nominations./award/award_nomination/nominated_for', ' /award/award_winner/awards_won./award/award_honor/award_winner', ' /film/director/film']","['/american_football/football_team/current_roster./sports/sports_team_roster/position', ' /user/tsegaran/random/taxonomy_subject/entry./user/tsegaran/random/taxonomy_entry/taxonomy', ' /education/field_of_study/students_majoring./education/education/major_field_of_study', ' /education/educational_institution_campus/educational_institution', ' /education/educational_institution/students_graduates./education/education/student']"
