level0,level1,level2,level3,level4
,http://dbpedia.org/ontology/wikiPageWikiLink http://dbpedia.org/property/wikiPageUsesTemplate http://purl.org/dc/terms/subject http://dbpedia.org/resource/Template:Reflist http://dbpedia.org/resource/Category:Living_people,http://dbpedia.org/ontology/careerStation http://purl.org/dc/terms/subject http://dbpedia.org/ontology/team http://dbpedia.org/property/clubs http://dbpedia.org/property/wikiPageUsesTemplate,http://purl.org/dc/terms/subject http://dbpedia.org/property/wikiPageUsesTemplate http://dbpedia.org/resource/Category:Italian_male_painters http://dbpedia.org/resource/Painter http://dbpedia.org/resource/Category:17th-century_Italian_painters,http://purl.org/dc/terms/subject http://dbpedia.org/property/wikiPageUsesTemplate http://dbpedia.org/resource/Category:Living_people http://dbpedia.org/resource/Template:Infobox_swimmer http://dbpedia.org/resource/Swimming_(sport)
,http://dbpedia.org/ontology/wikiPageWikiLink http://dbpedia.org/property/wikiPageUsesTemplate http://purl.org/dc/terms/subject http://dbpedia.org/resource/Template:Reflist http://dbpedia.org/resource/Category:Living_people,http://dbpedia.org/ontology/careerStation http://purl.org/dc/terms/subject http://dbpedia.org/ontology/team http://dbpedia.org/property/clubs http://dbpedia.org/property/wikiPageUsesTemplate,http://dbpedia.org/property/wikiPageUsesTemplate http://dbpedia.org/ontology/locatedInArea http://dbpedia.org/property/location http://dbpedia.org/resource/Template:Coord http://dbpedia.org/resource/Template:Infobox_mountain,http://dbpedia.org/property/wikiPageUsesTemplate http://dbpedia.org/ontology/location http://dbpedia.org/property/location http://dbpedia.org/resource/Template:Coord http://dbpedia.org/resource/Template:Convert
,http://dbpedia.org/ontology/wikiPageWikiLink http://dbpedia.org/property/wikiPageUsesTemplate http://purl.org/dc/terms/subject http://dbpedia.org/resource/Template:Reflist http://dbpedia.org/resource/Category:Living_people,http://dbpedia.org/ontology/careerStation http://purl.org/dc/terms/subject http://dbpedia.org/ontology/team http://dbpedia.org/property/clubs http://dbpedia.org/property/wikiPageUsesTemplate,http://dbpedia.org/resource/England http://dbpedia.org/resource/Template:Use_dmy_dates http://dbpedia.org/resource/Template:Authority_control http://dbpedia.org/resource/Template:IMDb_name http://dbpedia.org/resource/United_States,http://dbpedia.org/resource/Adolf_Fredrik's_Music_School http://dbpedia.org/resource/London http://dbpedia.org/resource/Category:Swedish_soap_opera_actresses http://dbpedia.org/resource/Category:Swedish_people_of_Scottish_descent http://dbpedia.org/resource/Category:Swedish_people_of_Irish_descent
,http://dbpedia.org/ontology/wikiPageWikiLink http://dbpedia.org/property/wikiPageUsesTemplate http://purl.org/dc/terms/subject http://dbpedia.org/resource/Template:Reflist http://dbpedia.org/resource/Category:Living_people,http://dbpedia.org/property/birthPlace http://dbpedia.org/resource/Actor http://dbpedia.org/ontology/birthPlace http://dbpedia.org/ontology/occupation http://dbpedia.org/ontology/deathPlace,http://dbpedia.org/ontology/formerTeam http://dbpedia.org/property/statlabel http://dbpedia.org/property/college http://dbpedia.org/property/position http://dbpedia.org/ontology/position,http://dbpedia.org/property/playedFor http://dbpedia.org/ontology/formerTeam http://dbpedia.org/resource/Montreal_Canadiens http://dbpedia.org/resource/HC_Oceláři_Třinec http://dbpedia.org/resource/Czechoslovakia
,http://dbpedia.org/ontology/wikiPageWikiLink http://dbpedia.org/property/wikiPageUsesTemplate http://purl.org/dc/terms/subject http://dbpedia.org/resource/Template:Reflist http://dbpedia.org/resource/Category:Living_people,http://dbpedia.org/property/birthPlace http://dbpedia.org/resource/Actor http://dbpedia.org/ontology/birthPlace http://dbpedia.org/ontology/occupation http://dbpedia.org/ontology/deathPlace,http://dbpedia.org/ontology/formerTeam http://dbpedia.org/property/playedFor http://dbpedia.org/ontology/wikiPageWikiLink http://purl.org/dc/terms/subject http://dbpedia.org/ontology/birthPlace,http://dbpedia.org/ontology/formerTeam http://dbpedia.org/property/formerTeams http://dbpedia.org/resource/Defenceman http://dbpedia.org/ontology/birthPlace http://dbpedia.org/resource/Kontinental_Hockey_League
,http://dbpedia.org/ontology/wikiPageWikiLink http://dbpedia.org/property/wikiPageUsesTemplate http://purl.org/dc/terms/subject http://dbpedia.org/resource/Template:Reflist http://dbpedia.org/resource/Category:Living_people,http://dbpedia.org/property/birthPlace http://dbpedia.org/resource/Actor http://dbpedia.org/ontology/birthPlace http://dbpedia.org/ontology/occupation http://dbpedia.org/ontology/deathPlace,http://dbpedia.org/ontology/genre http://dbpedia.org/property/genre http://dbpedia.org/ontology/associatedBand http://dbpedia.org/ontology/associatedMusicalArtist http://dbpedia.org/ontology/recordLabel,http://dbpedia.org/resource/Category:Year_of_birth_missing_(living_people) http://dbpedia.org/property/associatedActs http://dbpedia.org/ontology/occupation http://dbpedia.org/ontology/associatedMusicalArtist http://dbpedia.org/ontology/associatedBand
,http://dbpedia.org/ontology/wikiPageWikiLink http://dbpedia.org/property/wikiPageUsesTemplate http://purl.org/dc/terms/subject http://dbpedia.org/resource/Template:Coord http://purl.org/linguistics/gold/hypernym,http://dbpedia.org/ontology/wikiPageRedirects http://purl.org/linguistics/gold/hypernym http://dbpedia.org/resource/Administrative_divisions_of_the_Maldives http://dbpedia.org/resource/Template:R_from_move http://dbpedia.org/resource/Japan,http://dbpedia.org/property/wikiPageUsesTemplate http://dbpedia.org/property/subdivisionType http://dbpedia.org/ontology/subdivision http://dbpedia.org/property/subdivisionName http://dbpedia.org/resource/Central_European_Time,http://dbpedia.org/property/subdivisionType http://dbpedia.org/resource/Iran_Standard_Time http://dbpedia.org/ontology/subdivision http://dbpedia.org/property/subdivisionName http://dbpedia.org/resource/List_of_sovereign_states
,http://dbpedia.org/ontology/wikiPageWikiLink http://dbpedia.org/property/wikiPageUsesTemplate http://purl.org/dc/terms/subject http://dbpedia.org/resource/Template:Coord http://purl.org/linguistics/gold/hypernym,http://dbpedia.org/ontology/wikiPageRedirects http://purl.org/linguistics/gold/hypernym http://dbpedia.org/resource/Administrative_divisions_of_the_Maldives http://dbpedia.org/resource/Template:R_from_move http://dbpedia.org/resource/Japan,http://dbpedia.org/property/markTitle http://dbpedia.org/resource/Indian_Standard_Time http://dbpedia.org/resource/States_and_territories_of_India http://dbpedia.org/resource/List_of_districts_of_India http://dbpedia.org/resource/India,http://dbpedia.org/property/leader http://dbpedia.org/property/today http://dbpedia.org/property/religion http://dbpedia.org/property/currency http://dbpedia.org/ontology/currency
,http://dbpedia.org/ontology/wikiPageWikiLink http://dbpedia.org/property/wikiPageUsesTemplate http://purl.org/dc/terms/subject http://dbpedia.org/resource/Template:Coord http://purl.org/linguistics/gold/hypernym,http://dbpedia.org/ontology/wikiPageRedirects http://purl.org/linguistics/gold/hypernym http://dbpedia.org/resource/Administrative_divisions_of_the_Maldives http://dbpedia.org/resource/Template:R_from_move http://dbpedia.org/resource/Japan,http://dbpedia.org/resource/List_of_sovereign_states http://dbpedia.org/resource/Japan http://dbpedia.org/resource/Japan_Standard_Time http://dbpedia.org/resource/Time_in_Argentina http://dbpedia.org/resource/List_of_cities_in_Argentina,http://dbpedia.org/resource/Club_Sport_Colombia http://dbpedia.org/resource/Paraguay http://dbpedia.org/resource/Santos_Laguna http://dbpedia.org/resource/Paraguay_national_under-23_football_team http://dbpedia.org/resource/Paraguay_national_football_team
,http://dbpedia.org/ontology/wikiPageWikiLink http://dbpedia.org/property/wikiPageUsesTemplate http://purl.org/dc/terms/subject http://dbpedia.org/resource/Template:Coord http://purl.org/linguistics/gold/hypernym,http://dbpedia.org/ontology/wikiPageWikiLink http://dbpedia.org/resource/Island http://dbpedia.org/resource/Scotland_national_football_team http://dbpedia.org/ontology/wikiPageDisambiguates http://dbpedia.org/property/candidate,http://dbpedia.org/ontology/wikiPageWikiLink http://dbpedia.org/property/managerclubs http://dbpedia.org/ontology/managerClub http://dbpedia.org/resource/Provinces_of_Ireland http://dbpedia.org/resource/Counties_of_Ireland,http://dbpedia.org/resource/Puritans http://dbpedia.org/resource/Category:States_and_territories_established_in_1635 http://dbpedia.org/resource/Category:States_and_territories_disestablished_in_1644 http://dbpedia.org/resource/Category:History_of_the_Thirteen_Colonies http://dbpedia.org/resource/Category:Former_English_colonies
,http://dbpedia.org/ontology/wikiPageWikiLink http://dbpedia.org/property/wikiPageUsesTemplate http://purl.org/dc/terms/subject http://dbpedia.org/resource/Template:Coord http://purl.org/linguistics/gold/hypernym,http://dbpedia.org/ontology/wikiPageWikiLink http://dbpedia.org/resource/Island http://dbpedia.org/resource/Scotland_national_football_team http://dbpedia.org/ontology/wikiPageDisambiguates http://dbpedia.org/property/candidate,http://dbpedia.org/property/wikiPageUsesTemplate http://dbpedia.org/resource/Antarctica http://dbpedia.org/resource/Template:Infobox_islands http://dbpedia.org/resource/Island http://dbpedia.org/ontology/location,http://dbpedia.org/ontology/location http://dbpedia.org/resource/Template:Convert http://dbpedia.org/ontology/inflow http://dbpedia.org/resource/Laqaya_(La_Paz) http://dbpedia.org/resource/Bolivia
,http://dbpedia.org/ontology/wikiPageWikiLink http://dbpedia.org/property/wikiPageUsesTemplate http://purl.org/dc/terms/subject http://dbpedia.org/resource/Template:Coord http://purl.org/linguistics/gold/hypernym,http://dbpedia.org/ontology/wikiPageWikiLink http://dbpedia.org/resource/Island http://dbpedia.org/resource/Scotland_national_football_team http://dbpedia.org/ontology/wikiPageDisambiguates http://dbpedia.org/property/candidate,http://dbpedia.org/resource/City http://dbpedia.org/property/subdivisionType http://dbpedia.org/resource/U.S._state http://dbpedia.org/resource/Federal_Information_Processing_Standard http://dbpedia.org/resource/List_of_sovereign_states,http://dbpedia.org/resource/U.S._state http://dbpedia.org/resource/Eastern_Time_Zone http://dbpedia.org/resource/Indiana http://dbpedia.org/resource/Template:US_Census_population http://dbpedia.org/resource/2010_United_States_Census
